AAPL,Apple Inc.,Information Technology,139.52,1.63,16.75,8.33,25.19,89.47,140.28,732.00,69.75,3.35,5.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
ADBE,Adobe Systems Inc.,Information Technology,119.98,0.00,51.72,2.32,15.02,83.25,120.69,59.28,1.82,10.14,8.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
ATVI,Activision Blizzard,Information Technology,48.06,0.64,37.55,1.28,12.23,30.37,48.36,36.13,2.14,5.44,3.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
AXP,American Express Corp.,Financials,79.58,1.60,14.08,5.65,22.68,57.15,82.00,71.72,0.00,2.40,3.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
CCL,Carnival Corp.,Consumer Discretionary,55.53,2.51,14.93,3.72,31.12,42.94,57.79,40.31,4.76,2.47,1.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL
CMCSA,Comcast Corp.,Consumer Discretionary,37.42,1.69,20.96,1.78,11.38,29.03,38.44,177.45,26.48,2.21,3.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMCSA
CRM,Salesforce.com,Information Technology,82.97,,319.12,0.26,10.70,66.43,84.48,58.16,0.69647,6.89,7.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRM
DIS,The Walt Disney Company,Consumer Discretionary,110.86,1.40,20.01,5.54,27.01,90.32,111.99,175.30,16.78,3.17,4.10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
FB,Facebook Inc.,Information Technology,137.30,,39.31,3.49,20.51,105.49,138.37,396.79,14.84,14.37,6.70,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FB
IBM,International Business Machines,Information Technology,180.38,3.11,14.57,12.38,19.29,138.09,182.79,170.14,18.55,2.13,9.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM
KO,Coca Cola Company,Consumer Staples,41.99,3.48,28.18,1.49,5.38,39.88,47.13,180.28,11.53,4.33,7.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
L,Loews Corp.,Financials,47.45,0.52,24.59,1.93,53.96,36.05,48.05,15.97,2.94,1.22,0.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=L
M,Macy's Inc.,Consumer Discretionary,30.81,4.75,15.48,1.99,14.22,28.55,45.50,9.37,2.90,0.36,2.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=M
MAR,Marriott International,Consumer Discretionary,86.15,1.38,32.63,2.64,13.88,60.87,91.07,33.04,2.00,9.43,6.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAR
MCD,McDonald's Corp.,Consumer Discretionary,128.07,2.94,23.54,5.44,-2.69,110.33,131.96,104.89,9.34,4.26,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCD
MSFT,Microsoft Corp.,Information Technology,64.40,2.43,30.31,2.12,8.90,48.03,65.91,497.65,27.74,5.80,7.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSFT
NFLX,Netflix Inc.,Information Technology,141.43,,328.91,0.43,6.23,84.50,145.95,60.87,0.43732,6.92,22.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFLX
ORCL,Oracle Corp.,Information Technology,42.60,1.41,20.33,2.10,11.81,37.51,43.26,174.76,14.60,4.69,3.60,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORCL
RHT,Red Hat Inc.,Information Technology,81.97,,62.57,1.31,7.12,68.54,85.01,14.61,0.39837,6.29,11.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHT
TWX,Time Warner Inc.,Consumer Discretionary,98.24,1.63,19.83,4.95,31.52,67.85,99.29,76.07,8.57,2.59,3.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWX